method,n,p,m,alpha,gamma,sigma_sq,rotation_method,lambda,mean_mse,se_mse,mean_loading_error,se_loading_error,mean_false_positive_rate,se_false_positive_rate,mean_false_negative_rate,se_false_negative_rate,mean_factor_score_cor,se_factor_score_cor
EFA (oblimin),100,50,3,0.5,0,1,oblimin,NA,0.9434267511489367,0.003361750651602991,2.4150600687425854,0.053804301322367694,0.7445999999999999,0.018319633718823003,0.2524,0.03398386171615664,0.3017117117853876,NA
EFA (oblimin),100,50,3,0.5,0,5,oblimin,NA,4.929489971347075,0.013519803091711273,8.344432722712083,0.1095946095119234,0.803,0.011390113865872941,0.1932,0.02332107744211713,0.25137826584878625,NA
EFA (oblimin),100,50,3,0.5,1,0.1,oblimin,NA,0.1440620649945965,0.0012668069576856204,0.3301189132319341,0.0062085687056924925,0.3748,0.0060084294528433895,0,0,0.6551576827415604,NA
EFA (oblimin),100,50,3,0.5,1,1,oblimin,NA,0.924846944540718,0.0026485637791600096,2.3909310608834526,0.058395057081255315,0.6398,0.007348413684154519,0,0,0.6424123185269777,NA
EFA (oblimin),100,50,3,0.5,1,5,oblimin,NA,4.845146985357665,0.015994124211331784,7.347899635259456,0.10282071944946665,0.7448,0.005651367903762193,0.1056,0.012216282209428862,0.4256347428273456,NA
EFA (oblimin),100,50,3,0.5,2,0.1,oblimin,NA,0.16913024376733296,9.230928010056048e-4,0.4011960931533028,0.00812034508798478,0.4204,0.006608343520250188,0,0,0.6611472556600939,NA
EFA (oblimin),100,50,3,0.5,2,1,oblimin,NA,0.9175929903895187,0.0030931776881096534,2.5074727869000046,0.044068670566010326,0.674,0.006565214453186318,0.009600000000000001,0.0018285714285714285,0.6014650194153405,NA
EFA (oblimin),100,50,3,0.5,2,5,oblimin,NA,4.802609708816279,0.01374656664083804,6.9807844770046,0.08528843900803684,0.754,0.007211102550927978,0.1452,0.008336005013904246,0.29937476344672737,NA
EFA (oblimin),100,50,3,0.8,0,0.1,oblimin,NA,0.10788309098607252,0.0013219700729249983,0.8437026672454022,0.020168738726556595,0.49945454545454543,0.00749840034663896,0,0,0.3351260121249015,NA
EFA (oblimin),100,50,3,0.8,0,1,oblimin,NA,0.917129006677955,0.00411835843746989,3.2836672941038767,0.09303864209645935,0.7689090909090909,0.008583580524054025,0.026,0.005099019513592784,0.31069226375579445,NA
EFA (oblimin),100,50,3,0.8,0,5,oblimin,NA,4.818948406955768,0.018238118764378104,4.43885252650423,0.031496287674286354,0.7850909090909091,0.005453061022498766,0.108,0.007838939953325113,0.25437584714613704,NA
EFA (oblimin),100,50,3,0.8,1,0.1,oblimin,NA,0.10752560930378867,0.0011778117766968975,0.7952744031145058,0.01827490750999171,0.5047272727272727,0.007324675324675324,0,0,0.33692156600676415,NA
EFA (oblimin),100,50,3,0.8,1,1,oblimin,NA,0.9183810524739743,0.0031340718080941714,3.1414897171400296,0.09885986681531468,0.752,0.010259049787714447,0.0185,0.00396476831039369,0.32673565999058374,NA
EFA (oblimin),100,50,3,0.8,1,5,oblimin,NA,4.833415739021895,0.014678684703443414,4.45943710094802,0.024679831963477183,0.7861818181818182,0.005762722693773879,0.111,0.00786233594618115,0.2638336391969999,NA
EFA (oblimin),100,50,3,0.8,2,0.1,oblimin,NA,0.10898866029295264,0.001380352005655543,0.8363766795522193,0.022528235299950912,0.5001818181818182,0.006780613878855451,0,0,0.32534893330685155,NA
EFA (oblimin),100,50,3,0.8,2,1,oblimin,NA,0.9236698208889496,0.0032346331182388894,3.23507458911469,0.09108654056922162,0.775090909090909,0.008331186545314244,0.022,0.005082984821330627,0.3189896706935752,NA
EFA (oblimin),100,50,3,0.8,2,5,oblimin,NA,4.792038593117087,0.016254510529164875,4.43301448915601,0.030114245819792964,0.7801818181818182,0.006397682579253822,0.097,0.009248276176936864,0.2633592022651291,NA
EFA (oblimin),100,50,5,0.2,0,0.1,oblimin,NA,0.13871260659828724,0.001484061011898332,1.218153967970663,0.013621088703827215,0.45425,0.012720554233208552,0.19576470588235295,0.0073912137197753025,0.3747131744942269,NA
EFA (oblimin),100,50,5,0.2,0,1,oblimin,NA,0.8705393604097604,0.002699092432672083,3.8592867898897545,0.045519510615601784,0.72875,0.008858654824866044,0.20788235294117646,0.005262973619659743,0.272573595594759,NA
EFA (oblimin),100,50,5,0.2,0,5,oblimin,NA,4.647542762686534,0.015368774468272024,7.950970414586299,0.08231535310591083,0.7395,0.0070381612858554385,0.2447058823529412,0.00439552834642757,0.17958640893931122,NA
EFA (oblimin),100,50,5,0.2,1,0.1,oblimin,NA,0.18434768102745597,6.376942707609466e-4,1.2848365706937086,0.013580427262608347,0.519,0.010957012478270687,0.15294117647058825,0.008546677065607475,0.4718276210156608,NA
EFA (oblimin),100,50,5,0.2,1,1,oblimin,NA,0.8513559281701498,0.002705810716931502,3.3635378265906404,0.03815275623353518,0.7,0.008907117080957089,0.19976470588235296,0.004925717542918916,0.38189758834268905,NA
EFA (oblimin),100,50,5,0.2,1,5,oblimin,NA,4.549216004684439,0.014775299341604554,5.297084238715035,0.041605667163147404,0.7275,0.008375742428256124,0.2541176470588235,0.004672752529229527,0.16647923565843292,NA
EFA (oblimin),100,50,5,0.2,2,0.1,oblimin,NA,0.19372229816151898,6.638242980042028e-4,1.3792074109279386,0.0142962738907428,0.54575,0.006687350990138482,0.1436470588235294,0.003034951635758977,0.5118433000579155,NA
EFA (oblimin),100,50,5,0.2,2,1,oblimin,NA,0.8358383989930963,0.002179204478850859,3.16845155805925,0.03455096508128193,0.73125,0.006084544656214579,0.21023529411764705,0.004247847209782996,0.28923835513663854,NA
EFA (oblimin),100,50,5,0.2,2,5,oblimin,NA,4.50356133997613,0.013436602219941973,4.189944335750852,0.0390627685010871,0.7215,0.00810517597285959,0.26235294117647057,0.00453781512605042,0.14276566326763282,NA
EFA (oblimin),100,50,5,0.5,0,0.1,oblimin,NA,0.10082498775456387,0.0014031182226764095,0.6334946694560152,0.010737696283323571,0.4707,0.017498693828805787,0.4552,0.06023236637542704,0.18416638974063612,NA
EFA (oblimin),100,50,5,0.5,0,1,oblimin,NA,0.8755974706217982,0.0037593754336243492,5.224534167356687,0.14984522640915,0.7154,0.009809241789750924,0.1828,0.029993250941517096,0.2224120990284196,NA
EFA (oblimin),100,50,5,0.5,0,5,oblimin,NA,4.7083480958769695,0.015809959414488,11.515674086530264,0.078324246918859,0.7539,0.005362930207280651,0.2128,0.01641064860860478,0.1442089031903225,NA
EFA (oblimin),100,50,5,0.5,1,0.1,oblimin,NA,0.13448981280394953,0.001380897190897016,0.6908020210564982,0.01892578613850046,0.40700000000000003,0.006006798869036755,0,0,0.40253900074617327,NA
EFA (oblimin),100,50,5,0.5,1,1,oblimin,NA,0.8545271306417483,0.0029637231900396855,5.176965156814527,0.10836476496129807,0.7116,0.00830593591526996,0.046400000000000004,0.01261602479518224,0.33903229804777213,NA
EFA (oblimin),100,50,5,0.5,1,5,oblimin,NA,4.628011594477705,0.014045518895677869,9.157176459943333,0.06731754304278534,0.7386,0.005283860678847372,0.152,0.00919627253681776,0.20815668078671665,NA
EFA (oblimin),100,50,5,0.5,2,0.1,oblimin,NA,0.16021330778484352,0.0010964651263591703,0.9203438299884814,0.03490417702235982,0.4672,0.005746622788158952,0,0,0.3938868332205807,NA
EFA (oblimin),100,50,5,0.5,2,1,oblimin,NA,0.8459012897492775,0.003152745722970566,5.060975118900381,0.09475804783539862,0.7268,0.006149099817975684,0.0764,0.008469681824253,0.30698672173831765,NA
EFA (oblimin),100,50,5,0.5,2,5,oblimin,NA,4.600072684074824,0.01413585068375015,8.258813000434742,0.05422323826849323,0.7347,0.0047065087368235,0.1968,0.007884057797031854,0.15193835183716245,NA
EFA (oblimin),100,50,5,0.8,0,0.1,oblimin,NA,0.1060113665395012,0.001350788246770151,1.2675667364285386,0.02265905840775231,0.46923809523809523,0.006115203573756512,0,0,0.20501380943654393,NA
EFA (oblimin),100,50,5,0.8,0,1,oblimin,NA,0.8471998150709902,0.003437090680164914,4.339001292966708,0.02801830129174777,0.7857142857142857,0.005134139391595431,0.093,0.006269459502140483,0.1771137260830468,NA
EFA (oblimin),100,50,5,0.8,0,5,oblimin,NA,4.60375567311302,0.014579687277268149,4.746398519451649,0.02043461344835882,0.7412380952380953,0.0039352668451201394,0.1635,0.008547884330675763,0.13796333675955952,NA
EFA (oblimin),100,50,5,0.8,1,0.1,oblimin,NA,0.10213178046296163,0.0014623203453023536,1.2529706980835857,0.02350786519676773,0.45466666666666666,0.006622427142366925,0,0,0.20255670601025938,NA
EFA (oblimin),100,50,5,0.8,1,1,oblimin,NA,0.8506410549541361,0.0037146238281782003,4.278177850630021,0.035354800072341014,0.7750476190476191,0.0061939289167684125,0.089,0.006744612362350215,0.1900204335277344,NA
EFA (oblimin),100,50,5,0.8,1,5,oblimin,NA,4.603346785556233,0.013864060769546887,4.762966271986941,0.02102358643818515,0.7427619047619047,0.004864758982459989,0.164,0.008694356602687393,0.14672928781567895,NA
EFA (oblimin),100,50,5,0.8,2,0.1,oblimin,NA,0.10499207636834876,0.001530929430977464,1.3218635112437438,0.026996709595942553,0.4645714285714286,0.005915098010129166,0,0,0.19801813710260638,NA
EFA (oblimin),100,50,5,0.8,2,1,oblimin,NA,0.8490493380984362,0.00312582723074296,4.285507416891665,0.03233196718781595,0.7759047619047619,0.005575592539971002,0.0905,0.007280460290449795,0.18433964856933677,NA
EFA (oblimin),100,50,5,0.8,2,5,oblimin,NA,4.618437490833899,0.014347250794849229,4.766882283319517,0.01691281640131292,0.7476190476190476,0.005228810571585207,0.1685,0.007485019051684614,0.12827199506894213,NA
EFA (oblimin),100,100,3,0.2,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
