"method","mse","loading_error","false_positive_rate","false_negative_rate","mean_factor_score_cor","used_alpha","rotation_method","n","p","m","alpha","gamma","sigma_sq","rep","lambda","error_message"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,3,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,3,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,3,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.8,0,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.912179198959653,9.73312460363182,0.618181818181818,0.3125,-0.327665462692732,NA,NA,500,100,3,0.8,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0953542184405351,9.73294440914241,0.6,0,-0.304515236104129,1e-17,NA,500,100,3,0.8,0,0.1,1,NA,NA
"EFA (varimax)",0.110864363058108,0.766561659153023,0.45,0,0.28634810397618,NA,"varimax",500,100,3,0.8,0,0.1,1,NA,NA
"EFA (oblimin)",0.110864363058108,0.774399880314022,0.263636363636364,0,0.292820958218932,NA,"oblimin",500,100,3,0.8,0,0.1,1,NA,NA
"EFA (quartimin)",0.110864363058108,0.774399880314022,0.263636363636364,0,0.292820958218932,NA,"quartimin",500,100,3,0.8,0,0.1,1,NA,NA
"EFA (quartimax)",0.110864363058108,0.766561659153016,0.263636363636364,0,0.292807971029519,NA,"quartimax",500,100,3,0.8,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,3,0.8,0,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,3,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,3,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,3,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.8,0,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.907290382433254,19.1591707693101,0.459090909090909,0.39375,0.342850747284145,NA,NA,500,200,3,0.8,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0966354104949125,19.1588162633687,0.413636363636364,0,0.359065036356499,1e-17,NA,500,200,3,0.8,0,0.1,1,NA,NA
"EFA (varimax)",0.114559445463772,1.21347945638161,0.275,0,0.346168365576639,NA,"varimax",500,200,3,0.8,0,0.1,1,NA,NA
"EFA (oblimin)",0.114559445463772,1.21468309301846,0.227272727272727,0,0.332947872642104,NA,"oblimin",500,200,3,0.8,0,0.1,1,NA,NA
"EFA (quartimin)",0.114559445463772,1.21468309301846,0.227272727272727,0,0.332947872642104,NA,"quartimin",500,200,3,0.8,0,0.1,1,NA,NA
"EFA (quartimax)",0.114559445463772,1.21347945638159,0.220454545454545,0,0.333326440504928,NA,"quartimax",500,200,3,0.8,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,3,0.8,0,0.1,1,0.1,NA
"PCA",1.15822569994147,5.07968826037559,0.676190476190476,0.3,-0.219404367091047,NA,NA,100,50,5,0.8,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0763741213291375,5.07964005507002,0.714285714285714,0,-0.204379710903339,1e-17,NA,100,50,5,0.8,0,0.1,1,NA,NA
"EFA (varimax)",0.0994400135253677,1.36392076155601,0.566666666666667,0,0.245471445213891,NA,"varimax",100,50,5,0.8,0,0.1,1,NA,NA
"EFA (oblimin)",0.0994400135253678,1.29407583220596,0.39047619047619,0,0.24950711237703,NA,"oblimin",100,50,5,0.8,0,0.1,1,NA,NA
"EFA (quartimin)",0.0994400135253678,1.29407583220596,0.39047619047619,0,0.24950711237703,NA,"quartimin",100,50,5,0.8,0,0.1,1,NA,NA
"EFA (quartimax)",0.0994400135253678,1.36392076155601,0.404761904761905,0,0.249993359604119,NA,"quartimax",100,50,5,0.8,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,5,0.8,0,0.1,1,0.1,NA
"PCA",1.34772760761819,4.83517768315569,0.657142857142857,0.225,-0.184786907742828,NA,NA,500,50,5,0.8,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0835082046643036,4.835130930819,0.661904761904762,0,-0.193703226226386,1e-17,NA,500,50,5,0.8,0,0.1,1,NA,NA
"EFA (varimax)",0.100272134474985,0.686054841651146,0.333333333333333,0,0.187336701043788,NA,"varimax",500,50,5,0.8,0,0.1,1,NA,NA
"EFA (oblimin)",0.100272134474985,0.6955830876704,0.29047619047619,0,0.199007929651139,NA,"oblimin",500,50,5,0.8,0,0.1,1,NA,NA
"EFA (quartimin)",0.100272134474985,0.6955830876704,0.29047619047619,0,0.199007929651139,NA,"quartimin",500,50,5,0.8,0,0.1,1,NA,NA
"EFA (quartimax)",0.100272134474985,0.686054841651144,0.257142857142857,0,0.179015299792071,NA,"quartimax",500,50,5,0.8,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,5,0.8,0,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,5,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,5,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,5,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.8,0,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",1.46766800727858,9.82026297120514,0.597619047619048,0.4125,0.211972720651181,NA,NA,500,100,5,0.8,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0911457361665559,9.82016774044502,0.538095238095238,0,0.180358765156283,1e-17,NA,500,100,5,0.8,0,0.1,1,NA,NA
"EFA (varimax)",0.105994729056161,1.0969999306206,0.252380952380952,0,0.214259990286977,NA,"varimax",500,100,5,0.8,0,0.1,1,NA,NA
"EFA (oblimin)",0.10599472905616,1.09849876867969,0.230952380952381,0,0.183484721900627,NA,"oblimin",500,100,5,0.8,0,0.1,1,NA,NA
"EFA (quartimin)",0.10599472905616,1.09849876867969,0.230952380952381,0,0.183484721900627,NA,"quartimin",500,100,5,0.8,0,0.1,1,NA,NA
"EFA (quartimax)",0.105994729056161,1.09699993062059,0.24047619047619,0,0.182803773170423,NA,"quartimax",500,100,5,0.8,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,5,0.8,0,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,5,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,5,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,5,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.8,0,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",1.62770938097359,19.799612690447,0.43452380952381,0.49375,-0.210797227975397,NA,NA,500,200,5,0.8,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0948607232870413,19.7994206685827,0.471428571428571,0,-0.199399203913098,1e-17,NA,500,200,5,0.8,0,0.1,1,NA,NA
"EFA (varimax)",0.108737656856553,1.8019212066913,0.232142857142857,0,0.17989969224912,NA,"varimax",500,200,5,0.8,0,0.1,1,NA,NA
"EFA (oblimin)",0.108737656856553,1.80341175004951,0.207142857142857,0,0.173654275922735,NA,"oblimin",500,200,5,0.8,0,0.1,1,NA,NA
"EFA (quartimin)",0.108737656856553,1.80341175004951,0.207142857142857,0,0.173654275922735,NA,"quartimin",500,200,5,0.8,0,0.1,1,NA,NA
"EFA (quartimax)",0.108737656856553,1.80192120669129,0.208333333333333,0,0.174372841268585,NA,"quartimax",500,200,5,0.8,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,5,0.8,0,0.1,1,0.1,NA
"PCA",0.274435267647767,1.12294063786641,0.1,0.381818181818182,-0.679958373453763,NA,NA,100,50,3,0.2,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0889838634677511,1.12280829951334,0.5,0.127272727272727,-0.94109280006526,1e-17,NA,100,50,3,0.2,1,0.1,1,NA,NA
"EFA (varimax)",0.199186132883727,0.646216698923581,0.95,0.0818181818181818,0.311286737366949,NA,"varimax",100,50,3,0.2,1,0.1,1,NA,NA
"EFA (oblimin)",0.199186132883727,1.04560252900576,0.65,0.172727272727273,0.410299356521484,NA,"oblimin",100,50,3,0.2,1,0.1,1,NA,NA
"EFA (quartimin)",0.199186132883727,1.04560252900576,0.65,0.172727272727273,0.410299356521484,NA,"quartimin",100,50,3,0.2,1,0.1,1,NA,NA
"EFA (quartimax)",0.199186132883727,0.646216698923583,0.7,0.0454545454545455,0.957670662217087,NA,"quartimax",100,50,3,0.2,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,3,0.2,1,0.1,1,0.1,NA
"PCA",0.399169733418881,1.27897250257532,0,0.418181818181818,0.157501608203398,NA,NA,500,50,3,0.2,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0939707687066195,1.27884848304697,1,0.181818181818182,0.297147953620741,1e-17,NA,500,50,3,0.2,1,0.1,1,NA,NA
"EFA (varimax)",0.190556794442332,0.443840508746716,0.55,0,0.915685459400759,NA,"varimax",500,50,3,0.2,1,0.1,1,NA,NA
"EFA (oblimin)",0.190556794442332,1.01480548321475,0.425,0.172727272727273,0.50762840784375,NA,"oblimin",500,50,3,0.2,1,0.1,1,NA,NA
"EFA (quartimin)",0.190556794442332,1.01480548321475,0.425,0.172727272727273,0.50762840784375,NA,"quartimin",500,50,3,0.2,1,0.1,1,NA,NA
"EFA (quartimax)",0.190556794442332,0.443840508746716,0.8,0.0181818181818182,0.950087481331717,NA,"quartimax",500,50,3,0.2,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,3,0.2,1,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,3,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,3,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,3,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.2,1,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.35649087459106,2.43824354826406,0,0.495454545454545,-0.584591838525654,NA,NA,500,100,3,0.2,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0967229895665136,2.43799793766313,0.75,0.322727272727273,-0.943061858564842,1e-17,NA,500,100,3,0.2,1,0.1,1,NA,NA
"EFA (varimax)",0.201634970218437,0.917044016134763,0.6125,0.00909090909090909,0.945056840505119,NA,"varimax",500,100,3,0.2,1,0.1,1,NA,NA
"EFA (oblimin)",0.201634970218437,2.00086452480135,0.1375,0.0636363636363636,0.839819048678802,NA,"oblimin",500,100,3,0.2,1,0.1,1,NA,NA
"EFA (quartimin)",0.201634970218437,2.00086452480135,0.1375,0.0636363636363636,0.839819048678802,NA,"quartimin",500,100,3,0.2,1,0.1,1,NA,NA
"EFA (quartimax)",0.201634970218437,0.917044016134763,0.675,0.0272727272727273,0.972320005180185,NA,"quartimax",500,100,3,0.2,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,3,0.2,1,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,3,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,3,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,3,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.2,1,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.43535638513025,4.52021020406352,0,0.581818181818182,-0.174688522786509,NA,NA,500,200,3,0.2,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0977470550204058,4.51978824928614,0.66875,0.5,-0.328746934432192,1e-17,NA,500,200,3,0.2,1,0.1,1,NA,NA
"EFA (varimax)",0.203624261329886,1.72390764868918,0.525,0,0.949116082353569,NA,"varimax",500,200,3,0.2,1,0.1,1,NA,NA
"EFA (oblimin)",0.203624261329886,3.86451573875252,0.33125,0.131818181818182,0.498335578975361,NA,"oblimin",500,200,3,0.2,1,0.1,1,NA,NA
"EFA (quartimin)",0.203624261329886,3.86451573875252,0.33125,0.131818181818182,0.498335578975361,NA,"quartimin",500,200,3,0.2,1,0.1,1,NA,NA
"EFA (quartimax)",0.203624261329886,1.72390764868916,0.75625,0.0159090909090909,0.979884630971382,NA,"quartimax",500,200,3,0.2,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,3,0.2,1,0.1,1,0.1,NA
"PCA",0.389582654074393,3.50842174396639,0.475,0.423529411764706,0.237177990262586,NA,NA,100,50,5,0.2,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0838616311254557,3.50826416993101,0.7375,0.141176470588235,0.280652310491487,1e-17,NA,100,50,5,0.2,1,0.1,1,NA,NA
"EFA (varimax)",0.190759196095536,0.918182548529082,0.6875,0.1,0.190972129656427,NA,"varimax",100,50,5,0.2,1,0.1,1,NA,NA
"EFA (oblimin)",0.190759196095536,1.27793073323995,0.475,0.111764705882353,0.580614898835581,NA,"oblimin",100,50,5,0.2,1,0.1,1,NA,NA
"EFA (quartimin)",0.190759196095536,1.27793073323995,0.475,0.111764705882353,0.580614898835581,NA,"quartimin",100,50,5,0.2,1,0.1,1,NA,NA
"EFA (quartimax)",0.190759196095536,0.918182548529082,0.675,0.0941176470588235,0.494761993259265,NA,"quartimax",100,50,5,0.2,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,5,0.2,1,0.1,1,0.1,NA
"PCA",0.465531028215839,2.90024434747711,0.2875,0.417647058823529,-0.348909900659558,NA,NA,500,50,5,0.2,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0874287935234846,2.90011377451328,0.675,0.123529411764706,-0.476138493304206,1e-17,NA,500,50,5,0.2,1,0.1,1,NA,NA
"EFA (varimax)",0.189457962799876,0.47862665634907,0.5375,0.158823529411765,0.164526797144673,NA,"varimax",500,50,5,0.2,1,0.1,1,NA,NA
"EFA (oblimin)",0.189457962799876,0.894907841427603,0.2625,0.123529411764706,0.703683133128079,NA,"oblimin",500,50,5,0.2,1,0.1,1,NA,NA
"EFA (quartimin)",0.189457962799876,0.894907841427603,0.2625,0.123529411764706,0.703683133128079,NA,"quartimin",500,50,5,0.2,1,0.1,1,NA,NA
"EFA (quartimax)",0.189457962799876,0.47862665634907,0.5125,0.105882352941176,0.671245156942323,NA,"quartimax",500,50,5,0.2,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,5,0.2,1,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,5,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,5,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,5,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.2,1,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.488118385928327,6.10348356440031,0.2,0.511764705882353,0.327745547314748,NA,NA,500,100,5,0.2,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0932227436349323,6.10320907054158,0.60625,0.252941176470588,0.49233315422775,1e-17,NA,500,100,5,0.2,1,0.1,1,NA,NA
"EFA (varimax)",0.197419141124927,0.911204063873054,0.43125,0.214705882352941,-0.146414247099333,NA,"varimax",500,100,5,0.2,1,0.1,1,NA,NA
"EFA (oblimin)",0.197419141124928,1.62178439199269,0.18125,0.120588235294118,0.723481826361146,NA,"oblimin",500,100,5,0.2,1,0.1,1,NA,NA
"EFA (quartimin)",0.197419141124928,1.62178439199269,0.18125,0.120588235294118,0.723481826361146,NA,"quartimin",500,100,5,0.2,1,0.1,1,NA,NA
"EFA (quartimax)",0.197419141124928,0.911204063873043,0.28125,0.135294117647059,0.681210119596287,NA,"quartimax",500,100,5,0.2,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,5,0.2,1,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,5,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,5,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,5,0.2,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.2,1,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.417589273787866,11.5532597549701,0.0375,0.598529411764706,0.171958526428244,NA,NA,500,200,5,0.2,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0961147598361575,11.5526582863274,0.409375,0.433823529411765,-0.307579772637592,1e-17,NA,500,200,5,0.2,1,0.1,1,NA,NA
"EFA (varimax)",0.202918027211525,1.43388139122954,0.490625,0.201470588235294,0.0539965988521739,NA,"varimax",500,200,5,0.2,1,0.1,1,NA,NA
"EFA (oblimin)",0.202918027211525,2.8861308064917,0.115625,0.132352941176471,0.721755831691165,NA,"oblimin",500,200,5,0.2,1,0.1,1,NA,NA
"EFA (quartimin)",0.202918027211525,2.8861308064917,0.115625,0.132352941176471,0.721755831691165,NA,"quartimin",500,200,5,0.2,1,0.1,1,NA,NA
"EFA (quartimax)",0.202918027211525,1.43388139122954,0.30625,0.144117647058824,0.719277558617981,NA,"quartimax",500,200,5,0.2,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,5,0.2,1,0.1,1,0.1,NA
"PCA",0.677787882490745,5.92558080894993,0.51,0.04,-0.00490636837652364,NA,NA,100,50,3,0.5,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.086713389547106,5.92507407786856,0.49,0,-0.0387882528318936,1e-17,NA,100,50,3,0.5,1,0.1,1,NA,NA
"EFA (varimax)",0.140358449419849,0.282268896614692,0.45,0,0.689393366878986,NA,"varimax",100,50,3,0.5,1,0.1,1,NA,NA
"EFA (oblimin)",0.140358449419849,0.302043574835245,0.37,0,0.63660276697121,NA,"oblimin",100,50,3,0.5,1,0.1,1,NA,NA
"EFA (quartimin)",0.140358449419849,0.302043574835245,0.37,0,0.63660276697121,NA,"quartimin",100,50,3,0.5,1,0.1,1,NA,NA
"EFA (quartimax)",0.140358449419849,0.282268896614678,0.5,0,0.635455146510123,NA,"quartimax",100,50,3,0.5,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,3,0.5,1,0.1,1,0.1,NA
"PCA",0.224207439780349,6.01195855227949,0.37,0,0.648080813179722,NA,NA,500,50,3,0.5,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0936414372166093,6.01155030075003,0.32,0,0.679447100424834,1e-17,NA,500,50,3,0.5,1,0.1,1,NA,NA
"EFA (varimax)",0.149644572639174,0.158258074593562,0.16,0,0.649044224920709,NA,"varimax",500,50,3,0.5,1,0.1,1,NA,NA
"EFA (oblimin)",0.149644572639174,0.157119844078995,0.15,0,0.648386336742494,NA,"oblimin",500,50,3,0.5,1,0.1,1,NA,NA
"EFA (quartimin)",0.149644572639174,0.157119844078995,0.15,0,0.648386336742494,NA,"quartimin",500,50,3,0.5,1,0.1,1,NA,NA
"EFA (quartimax)",0.149644572639174,0.158258074593562,0.15,0,0.649045876677755,NA,"quartimax",500,50,3,0.5,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,3,0.5,1,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,3,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,3,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,3,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.5,1,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.246793649094679,12.5175482963855,0.33,0,0.0133479057077651,NA,NA,500,100,3,0.5,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.094127251588723,12.5166330321787,0.335,0,-0.0043049281717326,1e-17,NA,500,100,3,0.5,1,0.1,1,NA,NA
"EFA (varimax)",0.146313713286764,0.292016346307385,0.17,0,0.662300271908102,NA,"varimax",500,100,3,0.5,1,0.1,1,NA,NA
"EFA (oblimin)",0.146313713286764,0.294323165945237,0.115,0,0.662829083833274,NA,"oblimin",500,100,3,0.5,1,0.1,1,NA,NA
"EFA (quartimin)",0.146313713286764,0.294323165945237,0.115,0,0.662829083833274,NA,"quartimin",500,100,3,0.5,1,0.1,1,NA,NA
"EFA (quartimax)",0.146313713286764,0.292016346307399,0.12,0,0.662578350782555,NA,"quartimax",500,100,3,0.5,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,3,0.5,1,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,3,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,3,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
