"method","mse","loading_error","false_positive_rate","false_negative_rate","mean_factor_score_cor","used_alpha","rotation_method","n","p","m","alpha","gamma","sigma_sq","rep","lambda","error_message"
"PCA",1.14300240504669,11.8168391926032,0.665,0.52,-0.214122942120714,NA,NA,500,50,5,0.5,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0860329552007943,11.8162718437464,0.745,0.06,-0.129325812134921,1e-17,NA,500,50,5,0.5,0,0.1,1,NA,NA
"EFA (varimax)",0.107644012887581,0.337452062164605,0.395,0.86,0.0143594456348914,NA,"varimax",500,50,5,0.5,0,0.1,1,NA,NA
"EFA (oblimin)",0.107644012887581,0.333107881487518,0.405,1,0.0289146868790205,NA,"oblimin",500,50,5,0.5,0,0.1,1,NA,NA
"EFA (quartimin)",0.107644012887581,0.333107881487518,0.405,1,0.0289146868790205,NA,"quartimin",500,50,5,0.5,0,0.1,1,NA,NA
"EFA (quartimax)",0.107644012887582,0.337452062164608,0.4,1,0.0242815004095911,NA,"quartimax",500,50,5,0.5,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,5,0.5,0,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,5,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,5,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,5,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.5,0,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",1.42120211405454,24.0345722897558,0.5875,0.52,0.36474405729328,NA,NA,500,100,5,0.5,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0908478492304771,24.0335143410263,0.715,0,0.202967170227021,1e-17,NA,500,100,5,0.5,0,0.1,1,NA,NA
"EFA (varimax)",0.111591759409085,0.606054821892577,0.3725,0.69,0.0072337493264579,NA,"varimax",500,100,5,0.5,0,0.1,1,NA,NA
"EFA (oblimin)",0.111591759409085,0.587397047647364,0.3775,1,0.0113330278763465,NA,"oblimin",500,100,5,0.5,0,0.1,1,NA,NA
