method,n,p,m,alpha,gamma,sigma_sq,rotation_method,lambda,mean_mse,se_mse,mean_loading_error,se_loading_error,mean_false_positive_rate,se_false_positive_rate,mean_false_negative_rate,se_false_negative_rate,mean_factor_score_cor,se_factor_score_cor
EFA (oblimin),500,50,3,0.2,0,5,oblimin,NA,5.023606454724414,NA,4.038594051375984,NA,0.825,NA,0.32727272727272727,NA,0.10111027147754363,NA
EFA (oblimin),500,50,3,0.2,1,0.1,oblimin,NA,0.1905567944423315,NA,1.0148054832147544,NA,0.425,NA,0.17272727272727273,NA,0.5076284078437503,NA
EFA (oblimin),500,50,3,0.2,1,1,oblimin,NA,0.9766436922258068,NA,0.902739552447624,NA,0.5,NA,0.14545454545454545,NA,0.7576285398785094,NA
EFA (oblimin),500,50,3,0.2,1,5,oblimin,NA,4.881378412828524,NA,2.896071144784055,NA,0.425,NA,0.20909090909090908,NA,0.4901700453484326,NA
EFA (oblimin),500,50,3,0.2,2,0.1,oblimin,NA,0.1986939046662556,NA,0.9682265859622916,NA,0.5,NA,0.19090909090909092,NA,0.5267886502890526,NA
EFA (oblimin),500,50,3,0.2,2,1,oblimin,NA,0.9645275316552377,NA,0.8228430219290814,NA,0.5,NA,0.15454545454545454,NA,0.6769140734824836,NA
EFA (oblimin),500,50,3,0.2,2,5,oblimin,NA,4.904791187172558,NA,2.648799079499308,NA,0.625,NA,0.2636363636363636,NA,0.37761849797437036,NA
EFA (oblimin),500,50,3,0.5,0,0.1,oblimin,NA,0.11135716825105398,NA,0.20473756072897586,NA,0.16,NA,0,NA,0.6675543064435067,NA
EFA (oblimin),500,50,3,0.5,0,1,oblimin,NA,0.995941149392195,NA,0.8582924452347314,NA,0.82,NA,0.84,NA,0.015549659110503863,NA
EFA (oblimin),500,50,3,0.5,0,5,oblimin,NA,5.123304565899986,NA,3.7966325089049384,NA,0.44,NA,0,NA,0.5601507849123077,NA
EFA (oblimin),500,50,3,0.5,1,0.1,oblimin,NA,0.14964457263917405,NA,0.15711984407899493,NA,0.15,NA,0,NA,0.6483863367424938,NA
EFA (oblimin),500,50,3,0.5,1,1,oblimin,NA,0.9687903927690443,NA,0.9271716486181241,NA,0.38,NA,0,NA,0.6347569377136423,NA
EFA (oblimin),500,50,3,0.5,1,5,oblimin,NA,5.030842670763076,NA,4.966076962703248,NA,0.52,NA,0.04,NA,0.557285817355471,NA
EFA (oblimin),500,50,3,0.5,2,0.1,oblimin,NA,0.16770330685227863,NA,0.16580310952332056,NA,0.25,NA,0,NA,0.6845977124601469,NA
EFA (oblimin),500,50,3,0.5,2,1,oblimin,NA,0.9758488717719156,NA,1.0637146570303742,NA,0.41,NA,0,NA,0.5915921275462571,NA
EFA (oblimin),500,50,3,0.5,2,5,oblimin,NA,5.027506744444497,NA,4.45159827547706,NA,0.69,NA,0.2,NA,0.35679988302018634,NA
EFA (oblimin),500,50,3,0.8,0,0.1,oblimin,NA,0.10998640623926817,NA,0.4312220670881999,NA,0.3,NA,0,NA,0.3228047357924192,NA
EFA (oblimin),500,50,3,0.8,0,1,oblimin,NA,0.9721186724805027,NA,1.26710273678761,NA,0.5,NA,0,NA,0.29090282330011236,NA
EFA (oblimin),500,50,3,0.8,0,5,oblimin,NA,5.022647642720222,NA,3.9274245349322903,NA,0.6818181818181818,NA,0.075,NA,0.26189279683332417,NA
EFA (oblimin),500,50,3,0.8,1,0.1,oblimin,NA,0.10467449396299862,NA,0.3458514083084392,NA,0.3090909090909091,NA,0,NA,0.33564497942345695,NA
EFA (oblimin),500,50,3,0.8,1,1,oblimin,NA,0.9617775956949627,NA,1.4055922717403604,NA,0.5454545454545454,NA,0,NA,0.34169761898277995,NA
EFA (oblimin),500,50,3,0.8,1,5,oblimin,NA,5.004766629018252,NA,4.096486927365154,NA,0.7181818181818181,NA,0.05,NA,0.32332379941386485,NA
EFA (oblimin),500,50,3,0.8,2,0.1,oblimin,NA,0.11560870335049978,NA,0.35695977826233083,NA,0.3,NA,0,NA,0.3536915955298801,NA
EFA (oblimin),500,50,3,0.8,2,1,oblimin,NA,0.9776254121402559,NA,1.2346585836758939,NA,0.5272727272727272,NA,0,NA,0.31953977085630836,NA
EFA (oblimin),500,50,3,0.8,2,5,oblimin,NA,5.070791109167068,NA,3.678867836027522,NA,0.6636363636363637,NA,0.025,NA,0.3028543125172558,NA
EFA (oblimin),500,50,5,0.2,0,0.1,oblimin,NA,0.14805895982124292,NA,1.0728352005823218,NA,0.2875,NA,0.22941176470588234,NA,0.323356445149033,NA
EFA (oblimin),500,50,5,0.2,0,1,oblimin,NA,0.9324887501541457,NA,1.9126704666149372,NA,0.4875,NA,0.3411764705882353,NA,0.32758127407638626,NA
